Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL
Date,,,,,,,,,,,,,,,,,,
2024-02-28,15.460000038146973,41.560245513916016,44.7599983215332,15.460000038146973,42.0099983215332,44.7599983215332,15.579999923706055,42.119998931884766,45.130001068115234,15.3100004196167,41.5,44.400001525878906,15.359999656677246,41.52000045776367,44.43000030517578,18194600,7376400,6146200
2024-02-29,15.680000305175781,41.81746292114258,45.4900016784668,15.680000305175781,42.27000045776367,45.4900016784668,15.789999961853027,42.70000076293945,45.66999816894531,15.449999809265137,41.9900016784668,44.93000030517578,15.550000190734863,42.16999816894531,45.0,33255900,10294100,6997000
2024-03-01,15.65999984741211,41.70864486694336,44.84000015258789,15.65999984741211,42.15999984741211,44.84000015258789,15.699999809265137,42.33000183105469,45.72999954223633,15.369999885559082,41.529998779296875,44.380001068115234,15.699999809265137,42.20000076293945,45.61000061035156,25740800,5331100,7286700
2024-03-04,14.8100004196167,41.124961853027344,44.13999938964844,14.8100004196167,41.56999969482422,44.13999938964844,16.149999618530273,42.459999084472656,45.18000030517578,14.8100004196167,41.209999084472656,43.630001068115234,15.699999809265137,41.88999938964844,44.59000015258789,65053000,8206500,10628800
2024-03-05,14.670000076293945,41.35249328613281,43.7400016784668,14.670000076293945,41.79999923706055,43.7400016784668,14.770000457763672,41.869998931884766,44.029998779296875,14.289999961853027,41.16999816894531,43.40999984741211,14.75,41.25,43.72999954223633,43648000,7123200,6078300
2024-03-06,14.880000114440918,41.57014465332031,44.06999969482422,14.880000114440918,42.02000045776367,44.06999969482422,14.979999542236328,42.2599983215332,44.83000183105469,14.619999885559082,41.72999954223633,43.81999969482422,14.800000190734863,41.97999954223633,44.099998474121094,31408700,6435500,5927700
2024-03-07,14.899999618530273,42.32200622558594,44.119998931884766,14.899999618530273,42.779998779296875,44.119998931884766,15.0,43.2400016784668,44.720001220703125,14.8100004196167,42.13999938964844,44.02000045776367,14.850000381469727,42.20000076293945,44.09000015258789,23657300,9519200,5597200
2024-03-08,14.680000305175781,41.78778839111328,43.29999923706055,14.680000305175781,42.2400016784668,43.29999923706055,15.149999618530273,43.27000045776367,44.5099983215332,14.65999984741211,42.09000015258789,43.22999954223633,14.9399995803833,42.83000183105469,44.11000061035156,28441000,8220700,7726700
2024-03-11,14.649999618530273,42.22307586669922,42.88999938964844,14.649999618530273,42.68000030517578,42.88999938964844,14.670000076293945,42.70000076293945,43.06999969482422,14.420000076293945,41.95000076293945,42.529998779296875,14.600000381469727,42.060001373291016,42.83000183105469,23617200,8031400,7371000
2024-03-12,13.960000038146973,42.302215576171875,42.16999816894531,13.960000038146973,42.7599983215332,42.16999816894531,14.380000114440918,42.7599983215332,42.79999923706055,13.800000190734863,41.61000061035156,40.83000183105469,14.1899995803833,42.25,42.66999816894531,48594900,15141900,12149800
2024-03-13,14.0,43.43990707397461,43.040000915527344,14.0,43.90999984741211,43.040000915527344,14.180000305175781,44.470001220703125,43.33000183105469,13.859999656677246,42.630001068115234,41.86000061035156,13.920000076293945,42.68000030517578,41.90999984741211,26375200,12386600,7885400
2024-03-14,13.989999771118164,42.5990104675293,42.849998474121094,13.989999771118164,43.060001373291016,42.849998474121094,14.029999732971191,43.90999984741211,43.0,13.779999732971191,42.77000045776367,41.9900016784668,13.960000038146973,43.810001373291016,42.90999984741211,24683800,9658300,7293500
2024-03-15,13.960000038146973,42.658363342285156,43.619998931884766,13.960000038146973,43.119998931884766,43.619998931884766,14.15999984741211,43.4900016784668,43.689998626708984,13.880000114440918,42.959999084472656,42.779998779296875,13.960000038146973,42.97999954223633,42.79999923706055,21095400,8025700,9149300
2024-03-18,14.109999656677246,42.974937438964844,43.54999923706055,14.109999656677246,43.439998626708984,43.54999923706055,14.170000076293945,43.650001525878906,43.709999084472656,13.859999656677246,42.619998931884766,42.5,13.979999542236328,43.33000183105469,43.619998931884766,23693800,8313200,5685400
2024-03-19,13.930000305175781,43.271728515625,43.90999984741211,13.930000305175781,43.7400016784668,43.90999984741211,14.109999656677246,43.790000915527344,44.060001373291016,13.899999618530273,43.220001220703125,43.33000183105469,14.079999923706055,43.369998931884766,43.630001068115234,19305800,5358600,5175500
2024-03-20,14.569999694824219,44.894168853759766,45.97999954223633,14.569999694824219,45.380001068115234,45.97999954223633,14.579999923706055,45.45000076293945,45.9900016784668,13.920000076293945,43.619998931884766,43.40999984741211,13.960000038146973,43.959999084472656,43.63999938964844,33974600,9632600,8628300
2024-03-21,14.779999732971191,45.50753402709961,46.630001068115234,14.779999732971191,46.0,46.630001068115234,14.819999694824219,46.04999923706055,46.689998626708984,14.600000381469727,45.209999084472656,45.93000030517578,14.619999885559082,45.5,46.11000061035156,25527600,9868900,5582800
2024-03-22,14.819999694824219,45.101924896240234,46.470001220703125,14.819999694824219,45.59000015258789,46.470001220703125,14.880000114440918,46.150001525878906,46.790000915527344,14.649999618530273,45.58000183105469,46.13999938964844,14.710000038146973,46.0,46.5099983215332,16146800,6664600,4989300
2024-03-25,14.920000076293945,44.933738708496094,44.88999938964844,14.920000076293945,45.41999816894531,44.88999938964844,14.930000305175781,45.59000015258789,45.11000061035156,14.630000114440918,44.56999969482422,43.540000915527344,14.6899995803833,45.47999954223633,45.04999923706055,21392400,8827000,13422400
2024-03-26,14.920000076293945,45.43827819824219,45.41999816894531,14.920000076293945,45.93000030517578,45.41999816894531,15.119999885559082,46.119998931884766,45.900001525878906,14.899999618530273,45.439998626708984,44.849998474121094,14.989999771118164,45.58000183105469,45.029998779296875,20898500,7468400,8598600
